Bactrocera tau,B. tau,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Pumpkin fruit fly
Bactrocera trilineola,B. trilineola,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Fruit fly
Bactrocera trivialis,B. trivialis,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,New Guinea fruit fly
Bactrocera tsuneonis,B. tsuneonis,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Japanese orange fly
Bactrocera umbrosa,B. umbrosa,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Breadfruit fly
Bactrocera xanthodes,B. xanthodes,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Pacific fruit fly
Bactrocera zonata,B. zonata,Bactrocera,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Peach fruit fly
Bluetongue virus,Orbivirus,Reoviridae,Virus,Bluetongue
Borna disease virus,Orthobornavirus,Bornaviridae,Mononegavirales,Virus,Borna disease
Bovine leukemia virus,Deltaretrovirus,Retroviridae,Ortervirales,Virus,Enzootic bovine leucosis
Bovine spongiform encephalopathy,Transmissible spongiform encephalopathies,Mad cow disease,Transmissible spongiform encephalopathy,Prion disease
Bovine viral diarrhoea virus,Pestivirus,Flaviviridae,Virus,Bovine viral diarrhoea,Bovine viral diarrhea,Bovine pestivirus
Brucella abortus,B. abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Brucellosis
Brucella canis,B. canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Brucellosis
Brucella melitensis,B. melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Brucellosis
Brucella suis,B. suis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Brucellosis
Bungowannah virus,Pestivirus,Flaviviridae,Virus,Porcine myocarditis
Burkholderia mallei,B. mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,Glanders
Bursaphelenchus cocophilus,B. cocophilus,Bursaphelenchus,Aphelenchoididae,Tylenchida,Secernentea,Nematoda,Animal,Red ring disease
Bursaphelenchus xylophilus,B. xylophilus,Bursaphelenchus,Aphelenchoididae,Tylenchida,Secernentea,Nematoda,Animal,Pine wilt nematode
Camelpox virus,Orthopoxvirus,Poxviridae,Virus,Camel pox
